name,address,latitude,longitude,RestaurantsPriceRange2,stars,business_type,kitchen_type,veggy,GoodForKids,RestaurantsDelivery,WiFi,Alcohol,OutdoorSeating,garage,lot,valet,breakfast,brunch,lunch,dinner,dessert,latenight,romantic,intimate,upscale,casual,trendy,classy,RestaurantsReservations,review_count,parking,Sunday_open,Sunday_close,Monday_open,Monday_close,Tuesday_open,Tuesday_close,Wednesday_open,Wednesday_close,Thursday_open,Thursday_close,Friday_open,Friday_close,Saturday_open,Saturday_close
China Kitchen II,5607 Turney Rd,41.4105627,-81.6008417,1,3.5,other,Chinese,other,TRUE,FALSE,no,none,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,FALSE,,,,,,,,,,,,,,
Emerald Necklace Inn & Tearoom,18840 Lorain Rd,41.4531914,-81.8280176,,4.5,Event Planning & Services,other,other,,,free,,,,,,,,,,,,FALSE,,,,,,,17,FALSE,11:00:00,16:00:00,11:00:00,16:00:00,11:00:00,16:00:00,11:00:00,16:00:00,11:00:00,16:00:00,11:00:00,16:00:00,11:00:00,16:00:00
McG's Pub and Grub,6815 Memphis Ave,41.4397027,-81.7334672,1,3.5,Bars,other,other,TRUE,FALSE,no,full_bar,TRUE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,10:30:00,2:00:00,10:30:00,2:00:00,10:30:00,2:00:00,10:30:00,2:00:00,10:30:00,2:00:00,10:30:00,2:00:00,10:30:00,2:00:00
Nano Brew,1859 W 25th St,41.4860542,-81.7045576,2,3.5,Bars,other,other,FALSE,FALSE,free,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,303,FALSE,11:00:00,2:30:00,16:30:00,2:30:00,16:30:00,2:30:00,16:30:00,2:30:00,16:30:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00
Panda Express,3244 Steelyard Dr,41.4655173,-81.6875202,,2.5,Fast Food,Chinese,other,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,16,FALSE,10:30:00,21:30:00,10:30:00,21:30:00,10:30:00,21:30:00,10:30:00,21:30:00,10:30:00,21:30:00,10:30:00,22:00:00,10:30:00,22:00:00
Subway Restaurants,1701 E 12th St,41.502902,-81.685283,1,1,Fast Food,other,other,,FALSE,,none,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,9:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,9:00:00,22:00:00
Rascal House,1836 Euclid Ave,41.5011247,-81.6779443,1,3,Fast Food,other,other,TRUE,TRUE,free,beer_and_wine,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,62,FALSE,10:30:00,1:00:00,,,7:00:00,2:30:00,7:00:00,2:30:00,7:00:00,2:30:00,7:00:00,4:00:00,7:00:00,4:00:00
Capo Steaks,10509 St Clair Ave,41.5401919,-81.6147364,2,4.5,other,other,other,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,,,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,23:00:00,11:00:00,23:00:00
Frank's Falafel House,1823 W 65th St,41.4817281,-81.7298584,1,4,other,Mediterranean,other,TRUE,TRUE,free,none,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,61,TRUE,8:00:00,15:00:00,7:00:00,20:00:00,7:00:00,20:00:00,7:00:00,20:00:00,7:00:00,20:00:00,7:00:00,20:00:00,7:00:00,20:00:00
Pickwick & Frolic Restaurant and Club,2035 E 4th St,41.4991834,-81.6900959,2,3.5,Bars,other,other,FALSE,FALSE,free,full_bar,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,167,TRUE,16:00:00,21:00:00,16:00:00,21:00:00,16:00:00,21:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,23:00:00,16:00:00,23:00:00
Guthrie's Chicken Fingers,3465 Steelyard Dr,41.4601244,-81.6904074,1,4,Fast Food,other,other,TRUE,,no,none,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,80,TRUE,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00
Crust,3000 St Clair Ave,41.51229257,-81.67197092,1,4,other,Italian,other,TRUE,FALSE,no,none,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,,,10:00:00,14:30:00,10:00:00,14:30:00,10:00:00,14:30:00,10:00:00,14:30:00,10:00:00,14:30:00,,
Cafe 17,5755 Granger Rd,41.4157249,-81.6500309,2,5,Cafes,other,other,TRUE,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,4,FALSE,,,7:30:00,16:00:00,7:30:00,16:00:00,7:30:00,16:00:00,7:30:00,16:00:00,7:30:00,16:00:00,,
Arcade Pizza,5319 Broadway Ave,41.4688948,-81.6527965,1,3.5,Fast Food,other,other,FALSE,TRUE,no,none,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,FALSE,16:00:00,4:00:00,16:00:00,4:00:00,16:00:00,4:00:00,16:00:00,4:00:00,16:00:00,4:00:00,16:00:00,4:00:00,16:00:00,4:00:00
McCarthy's Downtown,1231 Main Ave,41.4956297,-81.7062993,1,3.5,Bars,other,other,FALSE,,,full_bar,TRUE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,26,FALSE,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,2:30:00,11:00:00,2:30:00
Arby's,5993 Mayfield Rd,41.5204789,-81.463775,1,3.5,Fast Food,other,other,TRUE,FALSE,,none,,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,FALSE,,,,,,,,,,,,,,
Prosperity Social Club,1109 Starkweather Ave,41.477068,-81.689789,2,4,Bars,other,other,TRUE,FALSE,no,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,229,FALSE,10:30:00,2:00:00,16:00:00,2:00:00,16:00:00,2:00:00,16:00:00,2:00:00,16:00:00,2:30:00,16:00:00,2:30:00,10:30:00,2:30:00
Joe Maxx Coffee,101 W Superior Ave,41.49939,-81.69386,,4,other,other,other,,,,,,,,,,,,,,,FALSE,,,,,,,6,FALSE,,,,,,,,,,,,,,
Georgio's Oven Fresh Pizza,7001 Harvard Ave,41.4489986,-81.639961,,2.5,other,other,other,,TRUE,no,none,FALSE,,,,,,,,,,FALSE,,,,,,FALSE,4,FALSE,12:00:00,22:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,0:00:00,11:00:00,0:00:00
The Market Cafe and Wine Bar,1801 E 9th St,41.5019217,-81.6868785,2,3.5,Bars,other,other,FALSE,FALSE,free,full_bar,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,,,7:00:00,14:30:00,7:00:00,14:30:00,7:00:00,14:30:00,7:00:00,14:30:00,7:00:00,14:30:00,,
Burger King,14902 Puritas Ave,41.433957,-81.8003589,1,2.5,Fast Food,other,other,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,,,,,,,,,,,,,,
Jake's Lounge,127 Public Sq,41.5015268,-81.69423041,2,3,Bars,other,other,FALSE,FALSE,paid,full_bar,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,FALSE,,,,,,,,,,,,,,
Danny's Deli,1658 St Clair Ave NE,41.5071693,-81.6830073,1,4.5,Delis,other,other,TRUE,FALSE,no,none,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,FALSE,,,,,6:00:00,14:30:00,6:00:00,14:30:00,6:00:00,14:30:00,6:00:00,14:30:00,,
Music Box Supper Club,1148 Main Ave,41.498306,-81.70643,2,3.5,Bars,other,other,FALSE,FALSE,free,full_bar,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,197,TRUE,11:00:00,14:00:00,,,,,17:00:00,22:30:00,17:00:00,22:30:00,17:00:00,23:30:00,17:00:00,23:30:00
Baba Yaga’s Greenhouse Cafe,12210 Larchmere Blvd,41.487673,-81.597094,,4.5,Cafes,other,veg,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,FALSE,10:00:00,15:00:00,,,8:00:00,18:00:00,8:00:00,18:00:00,8:00:00,18:00:00,8:00:00,18:00:00,10:00:00,15:00:00
"Metropolitan at The 9, Autograph Collection",2017  9th St,41.499892,-81.68582,3,3.5,Bars,other,other,,,free,,,,,,,,,,,,FALSE,,,,,,,110,FALSE,,,,,,,,,,,,,,
New Harvard Inn Family Restaurant,4055 E 71st St,41.448517,-81.6386341,1,4,other,other,other,TRUE,FALSE,no,none,FALSE,FALSE,TRUE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,TRUE,,,,,,,,,,,,,,
The Spread Buffet,100 Public Sq,41.4986969,-81.6931494,2,2.5,other,other,other,FALSE,FALSE,no,none,FALSE,TRUE,FALSE,TRUE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
Murano Modern Italian Cuisine,1852 E 6th St,41.5008301,-81.6900882,,4,other,Italian,other,,TRUE,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,28,TRUE,,,11:30:00,22:00:00,11:30:00,22:00:00,11:30:00,22:00:00,11:30:00,22:00:00,11:30:00,23:00:00,16:00:00,23:00:00
Distefano's Authentic Italian Foods,5600 Highland Rd,41.5520394,-81.4773509,1,4.5,Event Planning & Services,Italian,other,TRUE,TRUE,no,none,FALSE,FALSE,TRUE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,TRUE,9:00:00,13:00:00,9:00:00,18:30:00,9:00:00,18:30:00,9:00:00,18:30:00,9:00:00,18:30:00,9:00:00,18:30:00,9:00:00,17:00:00
Algebra Tea House,2136 Murray Hill Rd,41.5053225,-81.5997172,1,4,Cafes,other,other,TRUE,TRUE,free,none,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,145,FALSE,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00
Mom's Family Restaurant,6512 Clark Ave,41.4697976,-81.7306887,1,4,other,other,other,TRUE,FALSE,no,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,FALSE,,,,,,,,,,,,,,
Burger King,4625 Northfield Rd,41.4322189,-81.5254166,1,2,Fast Food,other,other,,,,,,,,,,,,,,,FALSE,,,,,,,3,FALSE,,,,,,,,,,,,,,
Bakersfield,2058 W 25th St,41.48328999,-81.70298204,2,4.5,Bars,Mexican,other,TRUE,FALSE,no,full_bar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,398,FALSE,11:00:00,22:00:00,,,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,0:00:00,11:00:00,2:00:00,11:00:00,2:00:00
Mirabile's,1025 Ivanhoe Rd,41.5516516,-81.5729672,2,4.5,other,Italian,other,TRUE,FALSE,,full_bar,,FALSE,FALSE,FALSE,,,,,,,FALSE,,,,,,,5,FALSE,,,,,,,,,,,,,,
Felice,12502 Larchmere Blvd,41.4875934,-81.5960105,2,4,Bars,Italian,other,FALSE,FALSE,free,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,190,FALSE,10:30:00,14:30:00,,,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,0:00:00,17:00:00,0:00:00
Krispy Kreme,6907 Pearl Rd,41.377345,-81.7911966,1,4,other,other,other,,,,,FALSE,FALSE,TRUE,FALSE,,,,,,,FALSE,,,,,,,27,TRUE,6:00:00,22:00:00,6:00:00,22:00:00,6:00:00,22:00:00,6:00:00,22:00:00,6:00:00,22:00:00,6:00:00,22:00:00,6:00:00,22:00:00
Blue Bar,1260 Euclid Ave,41.500444,-81.683358,2,3.5,other,other,other,FALSE,FALSE,free,full_bar,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18,FALSE,,,,,,,,,,,,,,
Angie's Soul Cafe,3400 St Clair Ave,41.5141289,-81.668221,1,3.5,other,Southern,other,TRUE,TRUE,no,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,49,FALSE,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,22:00:00,11:00:00,22:00:00
Restore Cold Pressed,1001 Huron Rd E,41.4997134,-81.6847825,2,4.5,Bars,other,other,TRUE,FALSE,free,none,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,140,TRUE,9:00:00,16:00:00,,,7:00:00,18:00:00,7:00:00,18:00:00,7:00:00,18:00:00,7:00:00,18:00:00,9:00:00,17:00:00
Dynomite Burgers,1302 Euclid Ave,41.5005583,-81.6827204,2,3,Burgers,other,other,TRUE,FALSE,no,beer_and_wine,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,41,FALSE,,,,,,,,,,,,,,
B & M Barbeque,18909 S Miles Rd,41.430808,-81.546037,,1.5,other,other,other,,,,,,,,,,,,,,,FALSE,,,,,,,7,FALSE,,,,,,,,,,,,,,
Backyard Bocce,1059 Old River Rd,41.4997109,-81.7065365,,3.5,Bars,Italian,other,FALSE,FALSE,no,,TRUE,FALSE,TRUE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,TRUE,11:00:00,1:00:00,11:00:00,1:00:00,11:00:00,1:00:00,11:00:00,1:00:00,11:00:00,1:00:00,11:00:00,2:00:00,11:00:00,2:00:00
Athens Pizzeria,4341 Rocky River Dr,41.4369254,-81.8201005,1,4.5,Event Planning & Services,Italian,other,TRUE,TRUE,no,none,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,TRUE,,,,,15:00:00,22:15:00,15:00:00,22:15:00,15:00:00,22:15:00,11:00:00,23:15:00,11:00:00,23:15:00
Ferrara's Imported Foods,5750 Mayfield Rd,41.5195457,-81.4721291,1,4.5,Delis,other,other,TRUE,FALSE,no,none,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,TRUE,,,8:00:00,17:30:00,8:00:00,17:30:00,8:00:00,17:30:00,8:00:00,17:30:00,8:00:00,17:30:00,8:00:00,17:00:00
Banter Beer & Wine,7320 Detroit Ave,41.48283385,-81.73539307,2,4.5,other,other,other,FALSE,FALSE,no,beer_and_wine,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,148,FALSE,12:00:00,20:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,1:00:00,11:00:00,1:00:00
McDonald's,7015 Detroit Ave,41.48278388,-81.73372015,1,2,Fast Food,other,other,TRUE,TRUE,,none,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,FALSE,6:00:00,23:00:00,6:00:00,23:00:00,6:00:00,23:00:00,6:00:00,23:00:00,6:00:00,23:00:00,6:00:00,0:00:00,6:00:00,0:00:00
Mr. Hero,2033 Ontario St,41.498525,-81.692258,1,3.5,Burgers,other,other,TRUE,TRUE,free,,,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,,,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00
China Chef,6328 Pearl Rd,41.3887888,-81.7646407,1,3,other,Chinese,other,TRUE,TRUE,no,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,16,FALSE,,,,,,,,,,,,,,
Starbucks,"230 W. Huron Rd, K18",41.498278,-81.693849,1,3.5,Fast Food,other,other,TRUE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,10,FALSE,5:00:00,20:00:00,5:00:00,20:00:00,5:00:00,20:00:00,5:00:00,20:00:00,5:00:00,20:00:00,6:00:00,19:00:00,6:00:00,18:00:00
China House,10571 Saint Clair Ave,41.5400845,-81.613517,,3,other,Chinese,other,TRUE,TRUE,,,,,,,,,,,,,FALSE,,,,,,,4,FALSE,,,,,,,,,,,,,,
Luca Italian Cuisine,2100 Superior Viaduct,41.4943598,-81.7046757,3,4.5,Bars,Italian,other,FALSE,FALSE,free,full_bar,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,225,TRUE,17:00:00,21:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,23:00:00,17:00:00,23:00:00
Noble Beast Brewing,1470 Lakeside Ave E,41.5077834,-81.68638989,2,4.5,Bars,other,other,TRUE,FALSE,free,beer_and_wine,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,223,FALSE,11:00:00,23:00:00,,,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,1:00:00,11:00:00,1:00:00
McDonald's,8210 Euclid Ave,41.50309057,-81.63005595,1,1,Fast Food,other,other,,TRUE,,,,,,,,,,,,,FALSE,,,,,,,13,FALSE,7:00:00,21:00:00,7:00:00,21:00:00,7:00:00,21:00:00,7:00:00,21:00:00,7:00:00,21:00:00,7:00:00,21:00:00,7:00:00,21:00:00
Pizza Hut,"18235 Euclid Ave, Ste FF",41.5575249,-81.5511583,1,1,other,Italian,other,,TRUE,,,,,,,,,,,,,FALSE,,,,,,FALSE,7,FALSE,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,0:00:00,11:00:00,0:00:00
The Pub,5300 Riverside Dr,41.41101164,-81.83870855,2,3,Bars,other,other,FALSE,FALSE,free,full_bar,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,142,FALSE,4:00:00,20:00:00,4:00:00,20:00:00,4:00:00,20:00:00,4:00:00,20:00:00,4:00:00,20:00:00,4:00:00,20:00:00,4:00:00,19:00:00
Wendy's,1331 W. 117Th Street,41.4855703,-81.7684235,1,1.5,Fast Food,other,other,TRUE,FALSE,free,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,FALSE,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,3:00:00,10:00:00,3:00:00
El Jalapeños,1313 W 117th St,41.4858431,-81.7684668,2,3.5,other,Mexican,other,TRUE,FALSE,no,full_bar,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,146,TRUE,12:00:00,21:00:00,,,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:30:00,12:00:00,22:30:00
Omar Grill,1701 E 12th St,41.50301,-81.68538,,4,other,Middle Eastern,other,,,,,,,,,,,,,,,FALSE,,,,,,,9,FALSE,10:30:00,0:00:00,10:30:00,0:00:00,10:30:00,0:00:00,10:30:00,0:00:00,10:30:00,0:00:00,10:30:00,0:00:00,10:30:00,0:00:00
Popeyes Louisiana Kitchen,3855 Lee Rd,41.454738,-81.564544,1,1.5,Fast Food,Southern,other,,FALSE,,,,,,,,,,,,,FALSE,,,,,,FALSE,3,FALSE,10:30:00,22:00:00,10:30:00,23:00:00,10:30:00,23:00:00,10:30:00,23:00:00,10:30:00,23:00:00,10:30:00,23:00:00,10:30:00,23:00:00
Cool Beanz,11038 Bellflower Rd,41.508117,-81.6086729,1,1.5,Bakeries,other,other,FALSE,FALSE,free,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,,,,,,,,,,,,,,
Rally's,14911 Snow Road,41.4036811,-81.8001987,1,2,Fast Food,other,other,TRUE,FALSE,no,none,TRUE,FALSE,TRUE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,TRUE,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,3:00:00,10:00:00,3:00:00
Rally's,11607 Buckeye Rd,41.481223,-81.6026604,1,2,Fast Food,other,other,,,,none,FALSE,,,,,,,,,,FALSE,,,,,,,4,FALSE,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,4:00:00,10:00:00,5:00:00,10:00:00,5:00:00
Krispy krunchy chicken,6206 Woodland Ave,41.4880323,-81.6466874,,3,Fast Food,other,other,TRUE,,,beer_and_wine,,FALSE,FALSE,FALSE,,,,,,,FALSE,,,,,,,4,FALSE,,,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00
Tremont Taphouse,2572 Scranton Rd,41.4771805,-81.695281,2,4,Bars,other,other,FALSE,FALSE,free,full_bar,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,444,TRUE,12:00:00,2:00:00,12:00:00,2:00:00,12:00:00,2:00:00,16:00:00,0:00:00,16:00:00,0:00:00,16:00:00,0:00:00,12:00:00,2:00:00
The Red Chimney,6501 Fleet Ave,41.4563071,-81.6447659,1,3.5,other,other,other,TRUE,FALSE,no,none,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,TRUE,5:00:00,21:00:00,5:00:00,21:00:00,5:00:00,21:00:00,5:00:00,21:00:00,5:00:00,21:00:00,5:00:00,21:00:00,5:00:00,21:00:00
Tick Tock Tavern,11526 Clifton Dr,41.4873908,-81.7671191,1,3,Bars,Greek,other,FALSE,TRUE,free,full_bar,TRUE,FALSE,TRUE,FALSE,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,84,TRUE,11:00:00,2:30:00,9:00:00,2:30:00,9:00:00,2:30:00,9:00:00,2:30:00,9:00:00,2:30:00,9:00:00,2:30:00,9:00:00,2:30:00
Panera Bread,11490 Euclid Ave,41.5099269,-81.603768,2,2,Bakeries,other,other,TRUE,TRUE,free,none,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,FALSE,59,TRUE,8:00:00,20:00:00,6:30:00,21:00:00,6:30:00,21:00:00,6:30:00,21:00:00,6:30:00,21:00:00,6:30:00,21:00:00,7:00:00,21:00:00
Rascal House Pizza,11316 Euclid Ave,41.5083581,-81.605532,1,2.5,other,other,other,TRUE,TRUE,free,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,49,FALSE,10:00:00,1:00:00,8:00:00,2:30:00,8:00:00,2:30:00,8:00:00,2:30:00,8:00:00,2:30:00,8:00:00,2:30:00,8:00:00,2:30:00
Foundation Room,308 Euclid Ave,41.49929219,-81.69032385,3,4,Bars,other,other,FALSE,FALSE,no,full_bar,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,20,TRUE,,,,,,,17:00:00,0:00:00,17:00:00,0:00:00,17:00:00,0:00:00,17:00:00,0:00:00
